Time,Prognozowane zapotrzebowanie sieci,Przewidywana generacja JW i magazynów energii wiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9),Prognozowana generacja JW i magazynów energii nie wiadcz¹cych us³ug bilansuj¹cych w ramach RB,Prognozowana sumaryczna generacja róde³ wiatrowych,Prognozowana sumaryczna generacja róde³ fotowoltaicznych,Planowane saldo wymiany miêdzysystemowej,Prognozowana wielkoæ niedyspozycyjnoci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej,Prognozowana wielkoæ niedyspozycyjnoci wynikaj¹cych z warunków eksploatacyjnych JW wiadcz¹cych us³ugi bilansuj¹ce w ramach RB,da1_price,day_of_week,month,hour
2022-11-23 23:00:00+00:00,19234,15404,3894,421,0,-64,0,0.0,800.0,2,11,23
2022-11-24 00:00:00+00:00,18429,14077,3844,374,0,508,0,0.0,857.99,3,11,0
2022-11-24 01:00:00+00:00,17720,13653,3786,373,0,281,0,0.0,807.0,3,11,1
2022-11-24 02:00:00+00:00,17387,13456,3614,213,0,317,0,0.0,807.0,3,11,2
2022-11-24 03:00:00+00:00,16982,12951,3558,159,0,473,0,0.0,809.0,3,11,3
2022-11-24 04:00:00+00:00,16827,12780,3539,140,0,508,0,0.0,870.0,3,11,4
2022-11-24 05:00:00+00:00,17126,13483,3546,145,0,97,0,0.0,935.21,3,11,5
2022-11-24 06:00:00+00:00,18013,14412,3538,123,0,62,0,0.0,1015.89,3,11,6
2022-11-24 07:00:00+00:00,20052,16623,3534,77,0,-104,0,0.0,1294.31,3,11,7
2022-11-24 08:00:00+00:00,21705,18182,3628,69,3,-105,0,0.0,1371.46,3,11,8
2022-11-24 09:00:00+00:00,22729,19160,3674,64,124,-105,0,0.0,1391.24,3,11,9
2022-11-24 10:00:00+00:00,22995,19115,3788,82,291,92,0,0.0,1369.0,3,11,10
2022-11-24 11:00:00+00:00,22897,18735,3873,108,428,290,0,0.0,1350.87,3,11,11
2022-11-24 12:00:00+00:00,23180,19028,3864,88,515,289,0,0.0,1371.02,3,11,12
2022-11-24 13:00:00+00:00,23298,18961,3870,78,460,467,0,0.0,1397.26,3,11,13
2022-11-24 14:00:00+00:00,23366,18946,3830,67,353,589,0,0.0,1424.8,3,11,14
2022-11-24 15:00:00+00:00,23189,19287,3763,66,201,139,0,0.0,1453.49,3,11,15
2022-11-24 16:00:00+00:00,23276,19606,3782,63,27,-112,0,0.0,1464.8,3,11,16
2022-11-24 17:00:00+00:00,23636,19746,3803,64,0,87,0,0.0,1451.39,3,11,17
2022-11-24 18:00:00+00:00,23645,19754,3799,66,0,92,0,0.0,1395.72,3,11,18
2022-11-24 19:00:00+00:00,23049,19455,3699,62,0,-105,0,0.0,1337.8,3,11,19
2022-11-24 20:00:00+00:00,22889,19356,3653,61,0,-120,0,0.0,1170.22,3,11,20
2022-11-24 21:00:00+00:00,22367,18805,3662,60,0,-100,0,0.0,999.68,3,11,21
2022-11-24 22:00:00+00:00,20917,17448,3563,59,0,-95,0,0.0,960.1,3,11,22
2022-11-24 23:00:00+00:00,19449,16018,3527,63,0,-96,0,0.0,936.22,3,11,23
2022-11-25 00:00:00+00:00,18109,14566,3534,65,0,9,0,0.0,953.55,4,11,0
2022-11-25 01:00:00+00:00,17055,13788,3537,84,0,-269,0,0.0,936.2,4,11,1
2022-11-25 02:00:00+00:00,17017,13482,3574,89,0,-39,0,0.0,895.5,4,11,2
2022-11-25 03:00:00+00:00,17287,13715,3599,84,0,-27,0,0.0,900.0,4,11,3
2022-11-25 04:00:00+00:00,17403,13292,3616,86,0,495,0,0.0,936.2,4,11,4
2022-11-25 05:00:00+00:00,17725,14268,3617,74,0,-161,0,0.0,953.55,4,11,5
2022-11-25 06:00:00+00:00,18038,14525,3606,73,0,-93,0,0.0,1069.57,4,11,6
2022-11-25 07:00:00+00:00,19919,16369,3652,70,0,-102,0,0.0,1400.0,4,11,7
2022-11-25 08:00:00+00:00,21732,18039,3797,85,5,-104,0,0.0,1458.96,4,11,8
2022-11-25 09:00:00+00:00,22676,18937,3846,93,228,-107,0,0.0,1457.13,4,11,9
2022-11-25 10:00:00+00:00,22956,19090,3974,88,493,-107,0,0.0,1434.71,4,11,10
2022-11-25 11:00:00+00:00,22868,18950,4027,75,639,-109,0,0.0,1458.96,4,11,11
2022-11-25 12:00:00+00:00,23153,19256,4004,55,682,-107,0,0.0,1458.96,4,11,12
2022-11-25 13:00:00+00:00,23285,19163,4033,51,599,89,0,0.0,1459.96,4,11,13
2022-11-25 14:00:00+00:00,22921,18715,3954,54,423,252,0,0.0,1443.09,4,11,14
2022-11-25 15:00:00+00:00,22848,18876,3875,61,220,97,0,0.0,1458.96,4,11,15
2022-11-25 16:00:00+00:00,22976,19231,3856,83,25,-110,0,0.0,1476.0,4,11,16
2022-11-25 17:00:00+00:00,23365,19447,4031,126,0,-113,0,0.0,1482.31,4,11,17
2022-11-25 18:00:00+00:00,23140,19148,4080,152,0,-89,0,0.0,1458.93,4,11,18
2022-11-25 19:00:00+00:00,22754,18866,3995,189,0,-106,0,0.0,1455.0,4,11,19
2022-11-25 20:00:00+00:00,22554,18600,4043,241,0,-89,0,0.0,1217.02,4,11,20
2022-11-25 21:00:00+00:00,21882,17976,4004,258,0,-99,0,0.0,1000.0,4,11,21
2022-11-25 22:00:00+00:00,20453,16605,3942,270,0,-94,0,0.0,960.14,4,11,22
2022-11-25 23:00:00+00:00,19042,15255,3883,259,0,-96,0,0.0,930.0,4,11,23
2022-11-26 00:00:00+00:00,17739,14509,3876,235,0,-646,0,0.0,1015.0,5,11,0
2022-11-26 01:00:00+00:00,16189,12449,3824,245,0,-83,0,0.0,974.07,5,11,1
2022-11-26 02:00:00+00:00,15602,12322,3793,210,0,-513,0,0.0,961.46,5,11,2
2022-11-26 03:00:00+00:00,15641,12135,3789,198,0,-283,0,0.0,950.0,5,11,3
2022-11-26 04:00:00+00:00,15637,12114,3797,204,0,-275,0,0.0,960.0,5,11,4
2022-11-26 05:00:00+00:00,15633,12189,3800,209,0,-356,0,0.0,961.46,5,11,5
2022-11-26 06:00:00+00:00,15780,12080,3787,194,0,-87,0,0.0,967.76,5,11,6
2022-11-26 07:00:00+00:00,16640,12884,3844,218,0,-88,0,0.0,1055.13,5,11,7
2022-11-26 08:00:00+00:00,17247,13354,3985,236,29,-93,0,0.0,1193.0,5,11,8
2022-11-26 09:00:00+00:00,18188,14092,4193,353,234,-98,0,0.0,1349.9,5,11,9
